EmployeeID,RateChangeDate,Rate,PayFrequency
62,9/7/2013,25,2
63,7/22/2015,12.45,1
64,8/16/2015,12.45,1
65,8/16/2015,12.45,1
66,6/14/2015,12.45,1
67,8/26/2014,12.45,1
68,5/26/2015,12.45,1
69,8/8/2014,12.45,1
70,6/7/2014,12.45,1
71,8/8/2014,25,2
72,5/24/2014,9.5,1
73,6/11/2014,9.5,1
74,6/30/2014,9.5,1
75,7/19/2014,9.5,1
76,8/5/2014,9.5,1
77,8/24/2014,9.5,1
78,6/7/2014,25,2
79,7/17/2015,15,1
80,7/10/2015,15,1
81,6/21/2015,15,1
82,8/24/2015,15,1
83,8/5/2015,15,1
84,7/29/2015,15,1
85,6/3/2015,15,1
86,6/28/2014,15,1
87,6/14/2014,25,2
88,6/10/2015,13.45,1
89,7/25/2015,13.45,1
90,8/13/2015,13.45,1
91,7/5/2015,13.45,1
92,8/31/2015,13.45,1
93,6/19/2014,25,2
94,6/4/2014,11,1
95,6/11/2014,11,1
96,8/23/2014,11,1
97,8/3/2014,11,1
98,8/4/2014,11,1
99,6/29/2014,11,1
100,7/5/2014,11,1
101,7/18/2014,11,1
102,5/26/2014,25,2
103,5/29/2015,13.45,1
104,6/17/2015,13.45,1
105,6/17/2015,13.45,1
106,8/20/2015,13.45,1
107,8/1/2015,13.45,1
108,5/31/2014,25,2
109,5/30/2014,11,1
110,6/6/2014,11,1
111,6/9/2014,11,1
112,6/24/2014,11,1
113,6/17/2014,11,1
114,7/6/2014,11,1
115,7/13/2014,11,1
116,7/24/2014,11,1
117,8/11/2014,11,1
118,8/6/2014,11,1
119,8/18/2014,11,1
120,8/25/2014,11,1
121,6/25/2014,19.23,2
122,5/30/2014,9,1
123,5/30/2014,9.5,2
124,6/18/2014,9,1
125,7/13/2014,9.5,2
126,8/19/2014,9,1
127,6/26/2014,25,2
128,5/27/2014,15,1
129,6/14/2014,15,1
130,8/6/2014,15,1
131,8/8/2014,15,1
132,8/15/2014,15,1
133,7/3/2014,15,1
134,7/7/2014,25,2
135,5/27/2014,14,1
136,6/3/2015,14,1
137,8/16/2014,14,1
138,7/28/2014,14,1
139,6/29/2015,14,1
140,7/15/2015,14,1
141,7/17/2015,14,1
142,8/25/2015,14,1
143,8/6/2015,14,1
144,7/10/2014,14,1
145,7/20/2014,25,2
146,5/30/2014,9.5,1
147,6/18/2014,9.5,1
148,7/7/2014,9.5,1
149,7/24/2014,9.5,1
150,8/19/2014,9.5,1
151,8/12/2014,9.5,1
152,7/25/2014,25,2
153,6/8/2014,14,1
154,6/15/2014,14,1
155,6/27/2014,14,1
156,7/4/2014,14,1
157,7/27/2014,14,1
158,8/28/2014,14,1
159,8/9/2014,14,1
160,7/14/2014,25,2
161,6/7/2014,10,1
162,6/26/2014,10,1
163,8/1/2014,10,1
164,8/27/2014,10,1
165,7/15/2014,10,1
166,8/14/2014,25,2
167,5/25/2014,6.5,1
167,5/23/2017,7.25,1
167,1/4/2019,9.5,1
168,5/30/2014,9.5,1
169,6/6/2014,9.5,1
170,6/13/2014,6.5,1
170,5/23/2017,7.25,1
170,1/4/2019,9.5,1
171,6/25/2014,9.5,1
172,7/9/2014,6.5,1
172,5/23/2017,7.25,1
172,1/4/2019,9.5,1
173,7/14/2014,9.5,1
174,7/20/2014,6.75,1
174,5/23/2017,7.25,1
174,1/4/2019,9.5,1
175,7/26/2014,6.5,1
175,5/23/2017,7.25,1
175,1/4/2019,9.5,1
176,8/7/2014,6.5,1
176,5/23/2017,7.25,1
176,1/4/2019,9.5,1
177,8/14/2014,6.5,1
177,5/23/2017,7.25,1
177,1/4/2019,9.5,1
178,8/24/2014,6.5,1
178,5/23/2017,7,1
178,1/4/2019,9.5,1
179,8/26/2014,9.5,1
180,8/13/2014,25,2
181,6/1/2014,14,1
182,6/20/2014,14,1
183,7/15/2014,14,1
184,8/2/2014,14,1
185,8/21/2014,14,1
186,8/1/2014,25,2
187,6/1/2014,10,1
188,6/19/2014,10,1
189,7/8/2014,10,1
190,7/26/2014,10,1
191,8/19/2014,10,1
192,8/26/2014,25,2
193,5/29/2014,15,1
194,6/4/2014,15,1
195,6/9/2014,15,1
196,6/16/2014,15,1
197,6/23/2014,15,1
198,6/27/2014,15,1
199,7/5/2014,15,1
200,7/10/2014,15,1
201,7/22/2014,15,1
202,7/29/2014,15,1
203,8/17/2014,15,1
204,8/29/2014,15,1
205,8/19/2014,25,2
206,5/25/2014,10,1
207,5/25/2014,10,1
208,7/1/2014,10,1
209,7/20/2014,10,1
210,8/13/2014,10,1
211,8/21/2014,28.85,2
212,6/1/2014,21.63,2
213,8/16/2015,10.58,2
214,7/26/2014,10.58,2
215,7/8/2014,10.58,2
216,6/20/2014,10.58,2
217,6/27/2014,17.79,2
218,6/8/2014,16.83,2
219,7/15/2014,10.25,2
220,8/2/2014,10.25,2
221,8/27/2014,16.83,2
222,6/4/2014,23.56,2
223,7/19/2014,16,2
224,6/30/2013,8.62,2
224,2/20/2017,13.5,2
224,6/23/2017,16,2
225,8/6/2019,99.99,2
225,8/6/2017,48,2
225,8/6/2014,40,2
225,8/6/2013,30,2
225,8/6/2012,24,2
225,8/6/2011,16,2
226,8/24/2014,16,2
227,5/25/2015,24.04,2
228,6/6/2014,20.43,2
229,8/9/2015,9.25,1
230,8/26/2015,9.25,1
231,8/28/2015,9.25,1
232,7/20/2015,9.25,1
233,6/13/2015,9.75,2
234,7/24/2014,39.06,2
234,5/6/2017,48.56,2
234,7/21/2017,60.1,2
235,5/29/2014,27.14,2
236,8/18/2014,13.94,2
237,7/30/2014,13.94,2
238,6/24/2014,18.27,2
239,6/17/2014,16.59,2
240,6/5/2014,18.27,2
241,7/23/2014,34.74,2
242,6/10/2014,19,2
243,6/29/2014,19,2
244,7/17/2014,19,2
245,8/11/2014,26.44,2
246,8/4/2014,19,2
247,8/22/2014,19,2
248,8/29/2014,26.44,2
249,6/17/2014,43.27,2
250,8/13/2016,9.86,2
250,1/19/2017,22.5,2
250,1/4/2018,30,2
251,8/3/2014,18.27,2
252,8/21/2014,18.27,2
253,6/9/2015,18.27,2
254,6/27/2015,18.27,2
255,7/4/2015,18.27,2
256,7/16/2015,18.27,2
257,7/20/2015,18.27,2
258,7/24/2015,18.27,2
259,8/30/2015,18.27,2
260,5/28/2016,12.75,2
261,6/16/2016,12.75,2
262,7/5/2014,13.46,2
263,6/3/2014,50.48,2
264,7/28/2014,39.66,2
104,7/1/2015,21,1
105,7/1/2015,21,1
106,7/1/2015,21,1
265,5/27/2014,32.45,2
266,8/16/2014,32.45,2
267,8/9/2014,27.4,2
268,7/27/2014,27.4,2
269,7/4/2014,27.4,2
270,7/10/2014,38.46,2
271,7/15/2014,38.46,2
272,6/15/2014,27.4,2
273,8/7/2016,72.12,2
274,6/26/2016,48.1,2
275,11/20/2016,23.08,2
276,11/20/2016,23.08,2
277,11/20/2016,23.08,2
278,11/20/2016,23.08,2
279,11/20/2016,23.08,2
280,11/20/2016,23.08,2
281,11/20/2016,23.08,2
282,11/20/2016,23.08,2
283,11/20/2016,23.08,2
284,3/23/2018,23.08,2
285,9/4/2018,48.1,2
286,11/20/2018,23.08,2
287,10/7/2017,48.1,2
288,11/20/2018,23.08,2
289,11/20/2017,23.08,2
290,11/20/2017,23.08,2
104,7/1/2013,12,1
105,7/1/2013,12,1
106,7/1/2013,12,1
